IID	GlumePub_Shenzhen_2022_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	0.00
WATDE0010	NA
WATDE0339	0.00
WATDE0459	0.00
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	0.00
WATDE0612	0.00
WATDE0061	0.00
WATDE0668	0.00
WATDE0714	0.00
WATDE0762	0.00
WATDE0801	0.00
WATDE0868	0.00
WATDE0100	NA
WATDE1030	0.00
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	0.00
WATDE0002	0.00
WATDE0004	0.00
WATDE0005	1.00
WATDE0006	0.00
WATDE0007	NA
WATDE0008	0.00
WATDE0009	0.00
WATDE0011	0.00
WATDE0012	0.00
WATDE0013	0.00
WATDE0014	NA
WATDE0015	0.00
WATDE0016	0.00
WATDE0017	0.00
WATDE0018	0.00
WATDE0019	NA
WATDE0020	0.00
WATDE0021	0.00
WATDE0022	0.00
WATDE0023	1.00
WATDE0024	NA
WATDE0025	0.00
WATDE0026	0.00
WATDE0027	0.00
WATDE0028	0.00
WATDE0029	NA
WATDE0030	NA
WATDE0031	0.00
WATDE0032	0.00
WATDE0033	0.00
WATDE0034	0.00
WATDE0035	NA
WATDE0036	0.00
WATDE0037	0.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	1.00
WATDE0042	0.00
WATDE0043	0.00
WATDE0044	NA
WATDE0045	0.00
WATDE0046	0.00
WATDE0047	0.00
WATDE0048	0.00
WATDE0049	0.00
WATDE0050	NA
WATDE0051	0.00
WATDE0052	NA
WATDE0053	0.00
WATDE0054	0.00
WATDE0055	0.00
WATDE0056	0.00
WATDE0057	0.00
WATDE0058	0.00
WATDE0059	0.00
WATDE0060	0.00
WATDE0062	0.00
WATDE0063	0.00
WATDE0064	0.00
WATDE0065	0.00
WATDE0066	0.00
WATDE0067	0.00
WATDE0068	0.00
WATDE0069	0.00
WATDE0070	0.00
WATDE0071	0.00
WATDE0072	0.00
WATDE0073	NA
WATDE0074	0.00
WATDE0075	0.00
WATDE0076	0.00
WATDE0077	0.00
WATDE0078	0.00
WATDE0079	0.00
WATDE0080	0.00
WATDE0081	NA
WATDE0082	0.00
WATDE0083	0.00
WATDE0084	0.00
WATDE0085	0.00
WATDE0086	0.00
WATDE0087	0.00
WATDE0088	0.00
WATDE0089	NA
WATDE0090	0.00
WATDE0091	0.00
WATDE0092	0.00
WATDE0093	1.00
WATDE0094	0.00
WATDE0095	0.00
WATDE0096	0.00
WATDE0097	0.00
WATDE0098	1.00
WATDE0099	0.00
WATDE0101	1.00
WATDE0102	0.00
WATDE0103	NA
WATDE0104	NA
WATDE0105	0.00
WATDE0106	0.00
WATDE0107	0.00
WATDE0108	0.00
WATDE0109	NA
WATDE0110	0.00
WATDE0111	0.00
WATDE0112	0.00
WATDE0113	0.00
WATDE0114	0.00
WATDE0115	1.00
WATDE0116	0.00
WATDE0117	0.00
WATDE0118	0.00
WATDE0119	0.00
WATDE0120	0.00
WATDE0121	0.00
WATDE0122	0.00
WATDE0123	0.00
WATDE0124	1.00
WATDE0126	0.00
WATDE0127	0.00
WATDE0129	0.00
WATDE0131	0.00
WATDE0133	0.00
